Matt Turland,Database testing for Fun and Profit,"You've built unit tests for your project complete with mock objects for 
dependencies like database connections. You know that your code is 
running the right database queries... or do you? Updating your unit 
tests in tandem with your database schema really isn't enough. To be 
certain that the queries executed by your code really work, you need to 
run them against a real database. Enter database testing. This 
presentation will introduce you to the Database extension for PHPUnit, 
the de facto unit testing framework for PHP applications. You'll learn 
about everything from generating various types of test data sets to 
writing tests that prove your code does what you think it does to the 
database.
"
Matt Turland,Unit Testing Javascript with QUnit,"The importance of quality assurance and best practices is only 
increasing in web applications, especially on the evermore prominent 
client side. As the complexity of client code grows, so too does the 
important of ensuring that it is thoroughly tested across major 
browsers. This presentation will cover the QUnit JavaScript unit testing
 framework developed by lead jQuery developer John Resig and the 
complementary Sinon mocking framework. It will include best practices 
for implementing testable code, supplementing native QUnit functions 
with a data provider implementation inspired by PHPUnit, and related 
pitfalls such as testing asynchronous and time-dependent code and 
mocking native browser and jQuery functionality.
"
Adam Culp,Essential Git for Developers,"You have been wanting to use the ""new shiny"", but there are too many 
""Git how-tos"" out there and you don't know where to start. This is not 
another one of those. Instead Adam Culp will give a practical walk 
through the development cycle and how to use Git as the source control. 
From initialization of a repository, adding, staging, cloning, and 
checkout, we will walk through a sample project and how most developers 
actually use Git to manage the workflow. Adam will also touch on how to 
use Git repository hosting providers, and how to use them with PAAS 
(Platform as a service) providers.
"
Beth Tucker Long,Continuous Integration in Real Life,"Continuous integration is a big picture idea for big projects, but what if your projects and pictures aren't big? Is continuous integration worthwhile for every day projects? Learn more about what continuous integration actually is, what tools are available to help you implement it, and how you can make it work for you, even in the small stuff. "
Chris Cornutt,Auth*: Dispelling the Myths,"There's a lot of bad practices and myths floating around about 
authentication and authorization these days. Using passwords just isn't 
good enough anymore. Come with me as I explore and dispel some of these 
common misconceptions and myths about these two important and often 
misunderstood topics. I'll talk about some of the most common techniques
 and look forward to tools and options that can help make your 
applications even more secure."
Chris Cornutt,Securing your REST API,"
With APIs becoming the de-facto standard for getting things done on the 
web, it's more important than ever to provide the right kind of security
 for your application. The options can be overwhelming with things like 
OAuth, signed queries, shared certificates and token authentication just
 to name a few. I'll go through these and some of the questions you'll 
need to ask as you think about protecting your API and the data that 
lies within.

"
Justin Carmony,Blazing data with Redis,"There are many fast data stores, and then there is Redis. Learn about 
this excellent NoSQL solution that is a powerful in-memory key-value 
store. Learn how to solve traditionally difficult problems with Redis, 
and how you can benefit from 100,000 reads/writes a second on commodity 
hardware. We’ll discuss how and when to use the different datatypes and 
commands to fit your needs. We’ll discuss the different PHP libraries 
with their pros and cons. We’ll then show some live examples on how to 
use it for a chatroom, and how Redis manages a billion data points for 
our dating matching system. Finally, we’ll discuss some of the upcoming 
features in the near future, such as clustering and scripting.
"
Glenn Campbell,The cloud from 40k feet,"I didn't understand ""the cloud"" for several years until I started to have to use it. Many of my misconceptions, I'm sure, are common to other new users of the Cloud and cloud services. This talk is a high-level overview of the various types of services available in ""the Cloud,"" targeted specifically at PHP developers. "
Michelangelo van Dam,"PHP Azure, a bright new day!","Windows Azure provides many services that are very appealing for PHP 
developers, especially if you need to get started quickly.

In this talk I give my motivation to try out Windows Azure cloud 
solutions, and discuss the main features like web sites, virtual 
machines and cloud services. Combining these features with blob storage,
 table storage, queues, WinCache, CDN and SSL you can build robust, 
scalable and very performant web applications and deploy them in just a 
few minutes.
"
Michelangelo van Dam,Community Works for business too,"Being part of the community is not just great to support the open-source
 movement, but it also is great for business. 


Why is it that big companies invest in open-source projects and how can 
your business benefit from participation? 


In this talk I explain the reasons why companies like to be associated 
with the PHP community and how your business can benefit from it. Even 
if you're working for a company, this talk will give enough arguments to
 talk to your bosses and convince them to contribute to open-source.
"
Stefan Koopmanschap,How Silex and Cilex became the glue for a media transcoding application,"Symfony2 is awesome, but can be overkill for some applications. During 
this talk, you will hear about a use case for using the Silex 
microframework for web and the Cilex microframework for CLI, and how 
these frameworks combined became the glue to the components of the media
 transcoding application that powers the majority of on-demand adaptive 
streaming for the Dutch public broadcasting organization NPO.
"
Konstantin Kudryashov,Design how your objects talk to each other through mocking,"What should you test with your unit tests? Some people will say that 
unit behaviour is best tested through it's outcomes. But what if 
communication between units itself is more important than the results of
 it? This session will introduce you to two different ways of 
unit-testing and show you a way to assert your object behaviours through
 their communications.
"
Konstantin Kudryashov,Enabling Agile through enabling BDD in PHP projects,"Agile is a big thing nowadays. Almost every project wants to be agile, 
but not all of them succeed. This talk will attempt to discover reasons 
behind such failures. And more importantly, will show a solution to a 
successful Agile adaptation through the integration of BDD methodology 
and tools to development processes.
"
Igor Wiedler,The HttpKernelInterface is a lie,"This talk will explore the evolution of HTTP abstractions. We will take a
 look at inetd at the TCP level, CGI and FCGI at the HTTP level, 
language level abstractions like Rack for Ruby and WSGI for Python. 
Finally we will arrive at the Symfony2 HttpKernelInterface. The PHP 
community can take many ideas from Rack. We should be building 
composable stacks of re-usable middlewares.

Learn about unix philosophy, understand where PHP's CGI-like I/O 
mechanism ($_SERVER, header, echo) comes from, how it can be improved, 
and how the HTTP boundary allows for truly framework-agnostic code 
sharing!
"
Igor Wiedler,Silex: An implementation detail,"Your framework is holding you hostage, and you are suffering from 
Stockholm syndrome. Are you a PHP developer, a Symfony developer or a 
Drupal developer? You should be a web developer. Frameworks are just 
details, your business does not care about them.

Silex is a library with a narrow and well defined scope, that allows you
 to adapt it to work on top of your existing application and business 
logic, not within it. Most ""full stack"" frameworks make a lot of 
decisions for you, and changing them is usually quite hard. You should 
be telling your framework what to do, not the other way round.

I will show you some approaches to designing your application in a 
framework-agnostic way, followed by how you can ease the delivery of 
your application over the web with Silex using some custom event 
listeners and middlewares.
"
